Lance;PRES;TEMP;SALI;PH;OXMG;FLUO;DiaMesAno;HoraCTD
15;155;13,6972;35,9436;6,69968;8,075;0,28543;27/02/2008;2:28
15;156;13,6821;35,941;6,70164;8,074;0,27188;27/02/2008;2:28
15;157;13,6719;35,9382;6,69794;8,072;0,27463;27/02/2008;2:28
15;158;13,6658;35,9373;6,69426;8,072;0,26848;27/02/2008;2:28
15;159;13,6612;35,9361;6,69285;8,071;0,25871;27/02/2008;2:28
15;160;13,6594;35,9354;6,67707;8,072;0,27391;27/02/2008;2:28
15;161;13,658;35,9348;6,66505;8,072;0,2716;27/02/2008;2:28
15;162;13,6505;35,9333;6,66935;8,072;0,27062;27/02/2008;2:28
15;163;13,639;35,9317;6,67762;8,072;0,24262;27/02/2008;2:28
15;164;13,6329;35,9305;6,67678;8,071;0,25866;27/02/2008;2:28
15;165;13,6253;35,9287;6,67467;8,071;0,26698;27/02/2008;2:28
15;166;13,622;35,9279;6,66916;8,071;0,26709;27/02/2008;2:28
15;167;13,6167;35,9268;6,66495;8,071;0,25828;27/02/2008;2:28
15;168;13,6094;35,9251;6,66649;8,071;0,26524;27/02/2008;2:28
15;169;13,6033;35,9243;6,66507;8,072;0,25659;27/02/2008;2:28
15;170;13,6021;35,9235;6,66567;8,071;0,26038;27/02/2008;2:28
15;171;13,5979;35,9228;6,66396;8,07;0,26424;27/02/2008;2:28
15;172;13,601;35,9227;6,66415;8,07;0,2595;27/02/2008;2:28
15;173;13,5982;35,9227;6,66308;8,07;0,26154;27/02/2008;2:28
15;174;13,5855;35,9203;6,65961;8,071;0,27648;27/02/2008;2:28
15;175;13,5825;35,9194;6,65669;8,071;0,27548;27/02/2008;2:28
15;176;13,5809;35,919;6,65349;8,069;0,27316;27/02/2008;2:28
15;177;13,5743;35,9173;6,6456;8,068;0,26052;27/02/2008;2:28
15;178;13,5652;35,9164;6,65159;8,07;0,26701;27/02/2008;2:28
15;179;13,5596;35,9156;6,66019;8,069;0,2751;27/02/2008;2:28
15;180;13,5553;35,915;6,65963;8,068;0,28992;27/02/2008;2:28
15;181;13,5545;35,9144;6,66139;8,068;0,26937;27/02/2008;2:28
15;182;13,5542;35,9137;6,66689;8,068;0,26862;27/02/2008;2:28
15;183;13,5352;35,9127;6,67036;8,07;0,28881;27/02/2008;2:28
15;184;13,5221;35,9122;6,66067;8,068;0,27488;27/02/2008;2:28
15;185;13,5228;35,913;6,65121;8,068;0,3059;27/02/2008;2:28
15;186;13,5227;35,9131;6,64721;8,066;0,30133;27/02/2008;2:28
15;187;13,5192;35,9131;6,64698;8,066;0,29467;27/02/2008;2:28
15;188;13,5129;35,9122;6,64952;8,066;0,30574;27/02/2008;2:28
15;189;13,5108;35,9123;6,65068;8,065;0,31146;27/02/2008;2:28
15;190;13,51;35,9117;6,64854;8,063;0,30697;27/02/2008;2:28
15;191;13,5071;35,9114;6,62803;8,064;0,30338;27/02/2008;2:28
15;192;13,5054;35,9111;6,62234;8,063;0,32464;27/02/2008;2:28
15;193;13,5041;35,9105;6,61745;8,063;0,32954;27/02/2008;2:28
15;194;13,499;35,9099;6,61301;8,062;0,27751;27/02/2008;2:28
15;195;13,4935;35,909;6,61596;8,063;0,29891;27/02/2008;2:28
15;197;13,4824;35,9068;6,60618;8,063;0,3192;27/02/2008;2:28
15;198;13,4821;35,9068;6,60922;8,062;0,28826;27/02/2008;2:28
15;199;13,4796;35,9063;6,61432;8,062;0,30943;27/02/2008;2:28
15;200;13,4706;35,9062;6,62047;8,063;0,32507;27/02/2008;2:28
15;201;13,4589;35,9047;6,60273;8,063;0,32623;27/02/2008;2:28
15;202;13,4493;35,9033;6,59818;8,064;0,30333;27/02/2008;2:28
15;203;13,4467;35,9028;6,6019;8,063;0,30681;27/02/2008;2:28
15;204;13,445;35,9027;6,60533;8,063;0,27904;27/02/2008;2:28
15;205;13,4419;35,9025;6,60818;8,061;0,31073;27/02/2008;2:28
15;206;13,426;35,9016;6,60621;8,062;0,28846;27/02/2008;2:28
15;207;13,4172;35,8981;6,59792;8,059;0,29849;27/02/2008;2:28
15;208;13,4129;35,8981;6,59964;8,059;0,30174;27/02/2008;2:28
15;209;13,403;35,8951;6,59592;8,059;0,29847;27/02/2008;2:28
15;210;13,4007;35,8945;6,58689;8,059;0,3031;27/02/2008;2:28
15;211;13,4013;35,8944;6,57887;8,059;0,28646;27/02/2008;2:28
15;212;13,4038;35,894;6,58232;8,059;0,27482;27/02/2008;2:28
