PRES;TEMP;SALI;PH;OXMG;FLUO;DiaMesAno;HoraCTD
68;15,091;36,1559;7,00593;8,113;5,5119;27/02/2008;2:28
69;15,0635;36,1554;6,98622;8,112;5,3363;27/02/2008;2:28
70;15,0134;36,1547;6,97232;8,11;5,2596;27/02/2008;2:28
71;15,0029;36,1525;6,94266;8,106;5,905;27/02/2008;2:28
72;14,9941;36,1544;6,90879;8,107;4,7732;27/02/2008;2:28
73;14,9747;36,1543;6,89724;8,106;4,1342;27/02/2008;2:28
74;14,9665;36,1547;6,89133;8,109;3,9359;27/02/2008;2:28
75;14,9567;36,166;6,88978;8,107;3,6932;27/02/2008;2:28
76;14,9351;36,1735;6,89349;8,11;2,8726;27/02/2008;2:28
77;14,9233;36,173;6,88705;8,111;2,7626;27/02/2008;2:28
78;14,917;36,173;6,90884;8,112;2,6538;27/02/2008;2:28
79;14,9038;36,1726;6,92793;8,111;2,4837;27/02/2008;2:28
80;14,8679;36,1695;6,93907;8,113;2,0792;27/02/2008;2:28
81;14,7192;36,1564;6,96364;8,112;1,4232;27/02/2008;2:28
82;14,6796;36,1495;6,96559;8,111;0,96981;27/02/2008;2:28
83;14,6654;36,148;6,95645;8,109;0,97879;27/02/2008;2:28
84;14,6445;36,1456;6,94384;8,109;0,83798;27/02/2008;2:28
85;14,6333;36,143;6,93937;8,106;0,75093;27/02/2008;2:28
86;14,6336;36,1424;6,93995;8,107;0,73832;27/02/2008;2:28
87;14,6234;36,142;6,9481;8,108;0,68536;27/02/2008;2:28
88;14,5922;36,1384;6,95699;8,107;0,64435;27/02/2008;2:28
89;14,5716;36,1342;6,96068;8,106;0,58368;27/02/2008;2:28
90;14,5477;36,1301;6,96933;8,106;0,54463;27/02/2008;2:28
91;14,5347;36,1262;6,97375;8,107;0,53062;27/02/2008;2:28
92;14,5273;36,1232;6,96526;8,106;0,47554;27/02/2008;2:28
93;14,4983;36,1187;6,95842;8,105;0,46583;27/02/2008;2:28
94;14,479;36,1155;6,96018;8,103;0,46858;27/02/2008;2:28
95;14,472;36,1133;6,94817;8,102;0,41382;27/02/2008;2:28
96;14,4677;36,1114;6,9394;8,102;0,42888;27/02/2008;2:28
97;14,4646;36,1097;6,93852;8,101;0,4362;27/02/2008;2:28
98;14,4497;36,1067;6,93659;8,101;0,42533;27/02/2008;2:28
99;14,443;36,1057;6,94108;8,091;0,41546;27/02/2008;2:28
100;14,4357;36,1044;6,93884;8,097;0,43153;27/02/2008;2:28
101;14,4258;36,1018;6,93561;8,1;0,4191;27/02/2008;2:28
102;14,4228;36,1004;6,92823;8,098;0,39035;27/02/2008;2:28
103;14,4193;36,0997;6,9193;8,098;0,39467;27/02/2008;2:28
104;14,4034;36,0968;6,92078;8,098;0,38063;27/02/2008;2:28
105;14,3702;36,0906;6,92449;8,098;0,36004;27/02/2008;2:28
106;14,3453;36,085;6,92625;8,099;0,37385;27/02/2008;2:28
107;14,3368;36,0825;6,91826;8,097;0,41462;27/02/2008;2:28
108;14,3298;36,0805;6,8999;8,096;0,48007;27/02/2008;2:28
109;14,3171;36,0773;6,89075;8,097;0,36124;27/02/2008;2:28
110;14,3066;36,076;6,89004;8,096;0,35258;27/02/2008;2:28
111;14,2898;36,0719;6,89238;8,096;0,32524;27/02/2008;2:28
112;14,2712;36,068;6,88645;8,096;0,33581;27/02/2008;2:28
113;14,217;36,058;6,88096;8,094;0,33776;27/02/2008;2:28
114;14,2003;36,0537;6,87332;8,093;0,32655;27/02/2008;2:28
115;14,1467;36,046;6,87153;8,092;0,30465;27/02/2008;2:28
116;14,1248;36,0379;6,8645;8,09;0,30168;27/02/2008;2:28
117;14,1131;36,0352;6,85252;8,088;0,29254;27/02/2008;2:28
118;14,1181;36,0368;6,82569;8,088;0,28925;27/02/2008;2:28
119;14,124;36,0383;6,7995;8,089;0,30998;27/02/2008;2:28
120;14,13;36,0398;6,79511;8,089;0,3073;27/02/2008;2:28
121;14,1391;36,0419;6,79707;8,088;0,30729;27/02/2008;2:28
122;14,1448;36,0437;6,80275;8,089;0,32859;27/02/2008;2:28
123;14,1442;36,0442;6,81558;8,088;0,32694;27/02/2008;2:28
124;14,1432;36,0441;6,82786;8,089;0,33875;27/02/2008;2:28
125;14,1329;36,0423;6,82824;8,089;0,33498;27/02/2008;2:28
126;14,1031;36,0373;6,83233;8,089;0,37188;27/02/2008;2:28
127;14,0861;36,035;6,84198;8,088;0,34639;27/02/2008;2:28
128;14,0477;36,025;6,85058;8,089;0,33913;27/02/2008;2:28
129;14,0366;36,0215;6,8532;8,088;0,32685;27/02/2008;2:28
130;14,0316;36,0191;6,84568;8,086;0,3256;27/02/2008;2:28
131;14,0198;36,0165;6,8401;8,085;0,34167;27/02/2008;2:28
132;14,0017;36,0129;6,84153;8,084;0,32357;27/02/2008;2:28
133;13,9969;36,0113;6,83644;8,084;0,30917;27/02/2008;2:28
134;13,9904;36,0096;6,82056;8,083;0,31628;27/02/2008;2:28
135;13,9654;36,0046;6,80916;8,084;0,33072;27/02/2008;2:28
136;13,928;35,9976;6,80846;8,083;0,29747;27/02/2008;2:28
137;13,8781;35,9871;6,80558;8,083;0,29479;27/02/2008;2:28
138;13,871;35,9836;6,79323;8,082;0,30407;27/02/2008;2:28
139;13,8711;35,9829;6,77691;8,08;0,32515;27/02/2008;2:28
140;13,8668;35,981;6,76356;8,079;0,32164;27/02/2008;2:28
141;13,8586;35,9789;6,75664;8,08;0,30804;27/02/2008;2:28
142;13,8466;35,9764;6,73938;8,08;0,29165;27/02/2008;2:28
143;13,8209;35,9716;6,72593;8,079;0,31042;27/02/2008;2:28
144;13,8201;35,9694;6,71184;8,079;0,30367;27/02/2008;2:28
145;13,8124;35,9677;6,71033;8,078;0,28911;27/02/2008;2:28
146;13,8124;35,9667;6,71162;8,079;0,28367;27/02/2008;2:28
147;13,8052;35,9655;6,70672;8,079;0,28255;27/02/2008;2:28
148;13,7941;35,964;6,70061;8,076;0,28378;27/02/2008;2:28
149;13,7846;35,9611;6,70302;8,075;0,28388;27/02/2008;2:28
150;13,7789;35,9601;6,70813;8,076;0,2775;27/02/2008;2:28
151;13,7704;35,9579;6,70885;8,077;0,26676;27/02/2008;2:28
152;13,7564;35,9552;6,70727;8,076;0,2768;27/02/2008;2:28
153;13,7314;35,9518;6,70922;8,076;0,27009;27/02/2008;2:28
154;13,7113;35,9469;6,70483;8,075;0,25705;27/02/2008;2:28
155;13,6972;35,9436;6,69968;8,075;0,28543;27/02/2008;2:28
156;13,6821;35,941;6,70164;8,074;0,27188;27/02/2008;2:28
157;13,6719;35,9382;6,69794;8,072;0,27463;27/02/2008;2:28
158;13,6658;35,9373;6,69426;8,072;0,26848;27/02/2008;2:28
159;13,6612;35,9361;6,69285;8,071;0,25871;27/02/2008;2:28
160;13,6594;35,9354;6,67707;8,072;0,27391;27/02/2008;2:28
161;13,658;35,9348;6,66505;8,072;0,2716;27/02/2008;2:28
162;13,6505;35,9333;6,66935;8,072;0,27062;27/02/2008;2:28
163;13,639;35,9317;6,67762;8,072;0,24262;27/02/2008;2:28
164;13,6329;35,9305;6,67678;8,071;0,25866;27/02/2008;2:28
165;13,6253;35,9287;6,67467;8,071;0,26698;27/02/2008;2:28
166;13,622;35,9279;6,66916;8,071;0,26709;27/02/2008;2:28
167;13,6167;35,9268;6,66495;8,071;0,25828;27/02/2008;2:28
168;13,6094;35,9251;6,66649;8,071;0,26524;27/02/2008;2:28
169;13,6033;35,9243;6,66507;8,072;0,25659;27/02/2008;2:28
170;13,6021;35,9235;6,66567;8,071;0,26038;27/02/2008;2:28
171;13,5979;35,9228;6,66396;8,07;0,26424;27/02/2008;2:28
172;13,601;35,9227;6,66415;8,07;0,2595;27/02/2008;2:28
173;13,5982;35,9227;6,66308;8,07;0,26154;27/02/2008;2:28
174;13,5855;35,9203;6,65961;8,071;0,27648;27/02/2008;2:28
175;13,5825;35,9194;6,65669;8,071;0,27548;27/02/2008;2:28
176;13,5809;35,919;6,65349;8,069;0,27316;27/02/2008;2:28
177;13,5743;35,9173;6,6456;8,068;0,26052;27/02/2008;2:28
178;13,5652;35,9164;6,65159;8,07;0,26701;27/02/2008;2:28
179;13,5596;35,9156;6,66019;8,069;0,2751;27/02/2008;2:28
180;13,5553;35,915;6,65963;8,068;0,28992;27/02/2008;2:28
181;13,5545;35,9144;6,66139;8,068;0,26937;27/02/2008;2:28
182;13,5542;35,9137;6,66689;8,068;0,26862;27/02/2008;2:28
183;13,5352;35,9127;6,67036;8,07;0,28881;27/02/2008;2:28
184;13,5221;35,9122;6,66067;8,068;0,27488;27/02/2008;2:28
185;13,5228;35,913;6,65121;8,068;0,3059;27/02/2008;2:28
186;13,5227;35,9131;6,64721;8,066;0,30133;27/02/2008;2:28
187;13,5192;35,9131;6,64698;8,066;0,29467;27/02/2008;2:28
188;13,5129;35,9122;6,64952;8,066;0,30574;27/02/2008;2:28
189;13,5108;35,9123;6,65068;8,065;0,31146;27/02/2008;2:28
190;13,51;35,9117;6,64854;8,063;0,30697;27/02/2008;2:28
191;13,5071;35,9114;6,62803;8,064;0,30338;27/02/2008;2:28
192;13,5054;35,9111;6,62234;8,063;0,32464;27/02/2008;2:28
193;13,5041;35,9105;6,61745;8,063;0,32954;27/02/2008;2:28
194;13,499;35,9099;6,61301;8,062;0,27751;27/02/2008;2:28
195;13,4935;35,909;6,61596;8,063;0,29891;27/02/2008;2:28
197;13,4824;35,9068;6,60618;8,063;0,3192;27/02/2008;2:28
198;13,4821;35,9068;6,60922;8,062;0,28826;27/02/2008;2:28
199;13,4796;35,9063;6,61432;8,062;0,30943;27/02/2008;2:28
200;13,4706;35,9062;6,62047;8,063;0,32507;27/02/2008;2:28
201;13,4589;35,9047;6,60273;8,063;0,32623;27/02/2008;2:28
202;13,4493;35,9033;6,59818;8,064;0,30333;27/02/2008;2:28
203;13,4467;35,9028;6,6019;8,063;0,30681;27/02/2008;2:28
204;13,445;35,9027;6,60533;8,063;0,27904;27/02/2008;2:28
205;13,4419;35,9025;6,60818;8,061;0,31073;27/02/2008;2:28
206;13,426;35,9016;6,60621;8,062;0,28846;27/02/2008;2:28
207;13,4172;35,8981;6,59792;8,059;0,29849;27/02/2008;2:28
208;13,4129;35,8981;6,59964;8,059;0,30174;27/02/2008;2:28
209;13,403;35,8951;6,59592;8,059;0,29847;27/02/2008;2:28
210;13,4007;35,8945;6,58689;8,059;0,3031;27/02/2008;2:28
211;13,4013;35,8944;6,57887;8,059;0,28646;27/02/2008;2:28
212;13,4038;35,894;6,58232;8,059;0,27482;27/02/2008;2:28
